# 20160802-20160809,,,,,,,,
经销商,访问日期,PV,UV,平均页面停留时间,进入次数,跳出百分比,退出百分比,价值
/point/pages/scan.html?dealerCode=11940,2016080616,17,8,0:00:06,5,0.00%,11.76%,US$0.00 
/point/pages/scan.html?dealerCode=20300,2016080416,17,10,0:00:53,8,37.50%,29.41%,US$0.00 
/point/pages/scan.html?dealerCode=20310,2016080615,17,6,0:00:19,3,33.33%,17.65%,US$0.00 
/point/pages/scan.html?dealerCode=20810,2016080916,17,5,0:00:29,2,0.00%,17.65%,US$0.00 
/point/pages/scan.html?dealerCode=21240,2016080616,17,10,0:00:05,10,10.00%,29.41%,US$0.00 
/point/pages/scan.html?dealerCode=21260,2016080609,17,6,0:00:34,3,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=21860,2016080614,17,8,0:00:57,5,40.00%,29.41%,US$0.00 
/point/pages/scan.html?dealerCode=30520,2016080317,17,8,0:01:33,8,50.00%,47.06%,US$0.00 
/point/pages/scan.html?dealerCode=31160,2016080411,17,7,0:00:30,4,0.00%,17.65%,US$0.00 
/point/pages/scan.html?dealerCode=31210,2016080510,17,9,0:00:40,7,28.57%,29.41%,US$0.00 
/point/pages/scan.html?dealerCode=50370,2016080713,17,8,0:01:13,0,0.00%,17.65%,US$0.00 
/point/pages/scan.html?dealerCode=81400,2016080710,17,6,0:02:05,6,16.67%,11.76%,US$0.00 
/point/pages/scan.html?dealerCode=10100,2016080313,16,6,0:00:09,6,33.33%,25.00%,US$0.00 
/point/pages/scan.html?dealerCode=10310,2016080814,16,5,0:00:07,2,0.00%,18.75%,US$0.00 
/point/pages/scan.html?dealerCode=10680,2016080308,16,2,0:02:15,2,0.00%,12.50%,US$0.00 
/point/pages/scan.html?dealerCode=10710,2016080315,16,5,0:00:23,5,0.00%,31.25%,US$0.00 
/point/pages/scan.html?dealerCode=10710,2016080708,16,5,0:00:49,5,20.00%,25.00%,US$0.00 
/point/pages/scan.html?dealerCode=10710,2016080810,16,11,0:01:27,7,0.00%,6.25%,US$0.00 
/point/pages/scan.html?dealerCode=10860,2016080210,16,6,0:00:27,6,16.67%,18.75%,US$0.00 
/point/pages/scan.html?dealerCode=11710,2016080711,16,8,0:00:24,6,0.00%,25.00%,US$0.00 
/point/pages/scan.html?dealerCode=20030,2016080210,16,5,0:02:08,3,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=20320,2016080609,16,11,0:01:43,9,11.11%,18.75%,US$0.00 
/point/pages/scan.html?dealerCode=20400,2016080213,16,6,0:00:07,4,0.00%,18.75%,US$0.00 
/point/pages/scan.html?dealerCode=20750,2016080313,16,6,0:00:32,6,0.00%,18.75%,US$0.00 
/point/pages/scan.html?dealerCode=21240,2016080619,16,11,0:01:16,9,11.11%,18.75%,US$0.00 
/point/pages/scan.html?dealerCode=21630,2016080711,16,11,0:00:07,9,22.22%,25.00%,US$0.00 
/point/pages/scan.html?dealerCode=21650,2016080417,16,10,0:00:11,10,10.00%,43.75%,US$0.00 
/point/pages/scan.html?dealerCode=21740,2016080222,16,5,0:00:10,4,0.00%,12.50%,US$0.00 
/point/pages/scan.html?dealerCode=21740,2016080310,16,7,0:03:55,6,33.33%,18.75%,US$0.00 
/point/pages/scan.html?dealerCode=21740,2016080515,16,6,0:00:25,4,25.00%,18.75%,US$0.00 
/point/pages/scan.html?dealerCode=30400,2016080616,16,7,0:00:06,3,0.00%,12.50%,US$0.00 
/point/pages/scan.html?dealerCode=30500,2016080815,16,1,0:02:37,1,0.00%,6.25%,US$0.00 
/point/pages/scan.html?dealerCode=30520,2016080214,16,13,0:00:06,10,20.00%,25.00%,US$0.00 
/point/pages/scan.html?dealerCode=30520,2016080617,16,5,0:00:13,4,0.00%,12.50%,US$0.00 
/point/pages/scan.html?dealerCode=30540,2016080316,16,5,0:00:42,5,40.00%,31.25%,US$0.00 
/point/pages/scan.html?dealerCode=30670,2016080712,16,9,0:00:19,8,0.00%,25.00%,US$0.00 
/point/pages/scan.html?dealerCode=30670,2016080713,16,8,0:00:08,5,0.00%,18.75%,US$0.00 
/point/pages/scan.html?dealerCode=31520,2016080310,16,8,0:00:54,8,12.50%,25.00%,US$0.00 
/point/pages/scan.html?dealerCode=31520,2016080316,16,4,0:00:55,4,75.00%,18.75%,US$0.00 
