# 20160802-20160809,,,,,,,,
,,,,,,,,
经销商,访问日期,PV,UV,平均页面停留时间,进入次数,跳出百分比,退出百分比,价值
/point/pages/scan.html?dealerCode=10880,2016080613,9,5,0:00:05,3,33.33%,22.22%,US$0.00 
/point/pages/scan.html?dealerCode=10710,2016080917,4,3,0:00:05,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=11020,2016080406,4,2,0:00:05,2,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=11260,2016080613,4,3,0:00:05,3,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=11260,2016080713,4,4,0:00:05,4,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=20310,2016080710,5,4,0:00:05,2,0.00%,20.00%,US$0.00 
/point/pages/scan.html?dealerCode=20650,2016080610,4,4,0:00:05,3,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=21260,2016080823,5,1,0:00:05,1,0.00%,20.00%,US$0.00 
/point/pages/scan.html?dealerCode=21890,2016080310,5,2,0:00:05,1,0.00%,20.00%,US$0.00 
/point/pages/scan.html?dealerCode=22060,2016080514,12,10,0:00:05,5,40.00%,33.33%,US$0.00 
/point/pages/scan.html?dealerCode=30840,2016080712,9,6,0:00:05,5,0.00%,11.11%,US$0.00 
/point/pages/scan.html?dealerCode=50140,2016080813,4,1,0:00:05,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=50460,2016080217,5,4,0:00:05,3,0.00%,20.00%,US$0.00 
/point/pages/scan.html?dealerCode=11350,2016080509,5,3,0:00:05,2,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=20320,2016080617,8,6,0:00:05,4,50.00%,37.50%,US$0.00 
/point/pages/scan.html?dealerCode=21010,2016080408,6,3,0:00:05,3,0.00%,16.67%,US$0.00 
/point/pages/scan.html?dealerCode=21160,2016080613,10,4,0:00:05,3,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=21740,2016080820,6,4,0:00:05,4,0.00%,16.67%,US$0.00 
/point/pages/scan.html?dealerCode=22400,2016080223,6,1,0:00:05,1,0.00%,16.67%,US$0.00 
/point/pages/scan.html?dealerCode=10310,2016080715,6,3,0:00:05,0,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=80260,2016080413,7,3,0:00:05,2,0.00%,14.29%,US$0.00 
/point/pages/scan.html?dealerCode=30480,2016080810,7,4,0:00:05,0,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=51140,2016080411,8,4,0:00:05,4,0.00%,12.50%,US$0.00 
/point/pages/scan.html?dealerCode=11940,2016080809,11,5,0:00:05,3,0.00%,18.18%,US$0.00 
/point/pages/scan.html?dealerCode=30730,2016080811,13,7,0:00:05,6,16.67%,30.77%,US$0.00 
/point/pages/scan.html?dealerCode=20030,2016080815,13,6,0:00:05,3,0.00%,15.38%,US$0.00 
/point/pages/scan.html?dealerCode=10090,2016080220,2,1,0:00:05,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10100,2016080318,1,1,0:00:05,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10100,2016080512,2,2,0:00:05,2,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10100,2016080616,5,4,0:00:05,2,0.00%,20.00%,US$0.00 
/point/pages/scan.html?dealerCode=10100,2016080710,1,1,0:00:05,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10100,2016080813,1,1,0:00:05,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10100,2016080814,3,3,0:00:05,3,33.33%,33.33%,US$0.00 
/point/pages/scan.html?dealerCode=10100,2016080913,1,0,0:00:05,0,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10110,2016080410,1,1,0:00:05,1,0.00%,0.00%,US$0.00 
/point/pages/scan.html?dealerCode=10220,2016080416,2,1,0:00:05,1,0.00%,50.00%,US$0.00 
/point/pages/scan.html?dealerCode=10230,2016080613,4,2,0:00:05,2,0.00%,50.00%,US$0.00 
